City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lompoc,34.6391,-120.4579,14.27,88,40,0.45,US,1732683700
1,gadzhiyevo,69.2551,33.3362,-7.2,85,3,6.73,RU,1732683704
2,nikolayevsk-on-amure,53.1406,140.73,-1.84,93,100,6.29,RU,1732683706
3,bilibino,68.0546,166.4372,-29.12,94,17,1.77,RU,1732683708
4,puerto leguizamo,-0.1934,-74.7819,22.87,97,98,0.65,CO,1732683709
5,jamestown,42.097,-79.2353,2.79,80,100,6.69,US,1732683507
6,port douglas,-16.4833,145.4667,28.34,70,70,4.48,AU,1732683713
7,aral,40.5156,81.2636,3.14,36,81,1.92,CN,1732683715
8,alice springs,-23.7,133.8833,30.75,37,99,3.6,AU,1732683716
9,ushuaia,-54.8,-68.3,5.81,70,0,8.75,AR,1732683603
10,ghat,24.9647,10.1728,12.06,45,99,2.35,LY,1732683720
11,es castell,39.8795,4.2854,11.38,93,0,2.06,ES,1732683721
12,novofedorovka,46.1713,32.3178,-0.14,85,6,2.71,UA,1732683723
13,port mathurin,-19.6833,63.4167,24.33,79,24,10.05,MU,1732683725
14,port-aux-francais,-49.35,70.2167,2.94,66,58,13.49,TF,1732683726
15,saipan,15.1355,145.701,29.8,78,47,6.26,MP,1732683726
16,preobrazheniye,42.9019,133.9064,2.23,61,100,3.98,RU,1732683730
17,chonchi,-42.6128,-73.8092,6.18,97,10,0.61,CL,1732683731
18,tiksi,71.6872,128.8694,-16.41,76,99,9.53,RU,1732683733
19,port elizabeth,-33.918,25.5701,19.06,68,0,9.77,ZA,1732683735
20,kuanda,56.3161,116.0806,-21.27,94,27,0.84,RU,1732683736
21,hafar al-batin,28.4328,45.9708,14.32,88,75,6.17,SA,1732683738
22,nuriootpa,-34.4833,139.0,21.97,42,44,12.59,AU,1732683740
23,boende,-0.2167,20.8667,21.43,90,99,0.76,CD,1732683741
24,waitangi,-43.9535,-176.5597,13.23,80,93,1.34,NZ,1732683743
25,san rafael,-34.6177,-68.3301,16.7,37,0,2.98,AR,1732683630
26,port lincoln,-34.7333,135.8667,16.51,78,74,11.04,AU,1732683747
27,general levalle,-34.0147,-63.9241,19.12,94,68,2.61,AR,1732683748
28,yellowknife,62.456,-114.3525,-13.71,72,100,8.23,CA,1732683597
29,lebu,-37.6167,-73.65,9.78,84,99,2.66,CL,1732683752
30,naze,28.3667,129.4833,18.51,56,19,6.36,JP,1732683753
31,albany,42.6001,-73.9662,3.68,84,7,0.89,US,1732683721
32,qaqortoq,60.7167,-46.0333,-11.21,75,5,2.59,GL,1732683757
33,bredasdorp,-34.5322,20.0403,15.6,76,49,4.87,ZA,1732683758
34,peterborough,52.5736,-0.2478,5.5,100,100,4.63,GB,1732683760
35,ribeira grande,38.5167,-28.7,19.87,86,84,13.41,PT,1732683762
36,carlisle,40.2015,-77.1889,5.66,72,53,3.72,US,1732683763
37,toliara,-23.35,43.6667,29.92,45,0,2.34,MG,1732683765
38,invercargill,-46.4,168.35,19.46,64,82,1.59,NZ,1732683767
39,san andres,12.5847,-81.7006,28.01,89,40,5.66,CO,1732683768
40,grytviken,-54.2811,-36.5092,0.61,77,79,4.42,GS,1732683770
41,udachny,66.4167,112.4,-11.93,89,100,4.91,RU,1732683772
42,longyearbyen,78.2186,15.6401,-10.09,79,100,9.26,SJ,1732683773
43,stanley,54.868,-1.6985,-0.99,100,75,1.54,GB,1732683775
44,adamstown,-25.066,-130.1015,22.63,84,84,9.33,PN,1732683777
45,puerto natales,-51.7236,-72.4875,7.24,78,93,1.25,CL,1732683767
46,rongelap,11.1635,166.8941,28.13,81,100,8.45,MH,1732683780
47,constantia,44.1833,28.65,4.38,60,60,1.23,RO,1732683782
48,atafu village,-8.5421,-172.5159,28.58,70,42,7.28,TK,1732683783
49,papatowai,-46.5619,169.4708,17.03,79,96,3.31,NZ,1732683785
50,mount isa,-20.7333,139.5,25.87,78,100,3.6,AU,1732683787
51,iskateley,67.6803,53.1512,2.07,96,100,10.3,RU,1732683789
52,sarandi del yi,-33.35,-55.6333,19.86,96,3,0.97,UY,1732683790
53,praia da vitoria,38.7333,-27.0667,18.14,82,75,13.43,PT,1732683793
54,ust-nera,64.5667,143.2,-27.97,98,80,1.54,RU,1732683794
55,okhotsk,59.3833,143.3,-13.99,72,46,2.8,RU,1732683796
56,vila franca do campo,37.7167,-25.4333,20.23,99,77,9.73,PT,1732683798
57,mlangali,-9.7833,34.5167,18.54,67,99,1.88,TZ,1732683799
58,brookings,44.3114,-96.7984,-8.64,91,100,3.09,US,1732683728
59,port macquarie,-31.4333,152.9167,25.6,79,1,5.36,AU,1732683803
60,revda,56.801,59.9303,-5.42,81,1,0.9,RU,1732683804
61,axim,4.8699,-2.2405,25.29,81,1,0.88,GH,1732683806
62,arvayheer,46.2639,102.775,-3.2,34,7,8.58,MN,1732683808
63,yoko,5.5333,12.3167,15.46,43,6,1.83,CM,1732683809
64,lively,46.4334,-81.1498,-1.1,90,97,4.41,CA,1732683811
65,anadyr,64.75,177.4833,-4.72,80,100,3.0,RU,1732683813
66,al wajh,26.2455,36.4525,15.97,59,20,2.57,SA,1732683695
67,port sudan,19.6175,37.2164,25.07,73,76,8.32,SD,1732683816
68,smithers,54.7804,-127.1743,-7.82,73,75,2.06,CA,1732683818
69,auki,-8.7676,160.7034,30.05,63,100,0.94,SB,1732683819
70,salalah,17.0151,54.0924,26.06,64,0,0.57,OM,1732683821
71,margaret river,-33.95,115.0667,22.06,49,23,6.47,AU,1732683823
72,honcho,35.6931,139.9833,22.05,68,20,1.03,JP,1732683824
73,egilsstadir,65.2653,-14.3948,-0.05,69,0,5.66,IS,1732683827
74,yanykurgan,43.915,67.2481,10.31,27,0,0.88,KZ,1732683829
75,sitka,57.0531,-135.33,3.52,92,100,1.76,US,1732683830
76,kapa'a,22.0752,-159.319,21.77,88,2,4.85,US,1732683832
77,puerto ayora,-0.7393,-90.3518,22.53,92,96,3.13,EC,1732683834
78,sur,22.5667,59.5289,26.81,51,0,2.96,OM,1732683835
79,chui,-33.6971,-53.4616,18.73,97,2,1.83,UY,1732683837
80,tayu,-6.5397,111.0518,31.15,65,81,2.5,ID,1732683839
81,dampit,-8.2116,112.7493,28.31,75,95,2.19,ID,1732683840
82,kerikeri,-35.2268,173.9474,20.49,69,98,1.95,NZ,1732683842
83,puerto aysen,-45.4,-72.7,8.32,99,100,0.87,CL,1732683844
84,itacarambi,-15.1022,-44.0919,20.27,90,88,0.5,BR,1732683845
85,luwingu,-10.2621,29.9271,18.32,88,100,1.08,ZM,1732683847
86,west island,-12.1568,96.8225,29.99,89,75,6.69,CC,1732683849
87,williams lake,52.1415,-122.1445,-9.24,92,40,0.0,CA,1732683850
88,la foa,-21.7108,165.8276,29.89,60,96,4.02,NC,1732683621
89,college,64.8569,-147.8028,-22.01,84,20,0.0,US,1732683855
90,sawakin,19.1059,37.3321,24.98,76,92,6.95,SD,1732683856
91,iqaluit,63.7506,-68.5145,-17.15,71,0,3.6,CA,1732683858
92,coaraci,-14.6408,-39.5511,20.84,98,100,0.74,BR,1732683860
93,san patricio,28.017,-97.5169,18.97,89,3,2.4,US,1732683861
94,blackmans bay,-43.0167,147.3167,17.07,94,100,0.45,AU,1732683863
95,weno,7.4515,151.8468,27.97,83,100,2.57,FM,1732683865
96,tura,25.5198,90.2201,24.07,55,57,1.46,IN,1732683866
97,mingora,34.7758,72.3625,17.07,16,0,1.92,PK,1732683793
98,prabumulih,-3.45,104.25,31.86,61,100,1.32,ID,1732683870
99,sao felix do xingu,-6.6447,-51.995,23.07,86,90,0.18,BR,1732683871
100,tsarevo,42.1667,27.85,8.0,60,98,0.82,BG,1732683873
101,haiku-pauwela,20.9219,-156.3051,23.47,82,0,5.36,US,1732683875
102,mendoza,-32.8908,-68.8272,22.74,38,0,3.09,AR,1732683466
103,charters towers,-20.1,146.2667,35.01,26,24,3.49,AU,1732683878
104,edinburgh of the seven seas,-37.0676,-12.3116,16.24,96,100,13.92,SH,1732683880
105,fort bragg,35.139,-79.006,9.89,87,0,0.45,US,1732683881
106,quepos,9.4236,-84.1652,25.09,91,100,1.76,CR,1732683883
